date,total_kwh,avg_power,max_power,min_power,readings_count,rolling_mean_7d,rolling_std_7d,pct_change_from_rolling,day_over_day_change,load_factor,day_of_week,is_weekend,zscore,flag_zscore,flag_isoforest,isoforest_score,flagged_by_both
2006-12-16,20.152933333333333,3.0534747474747475,7.706,0.284,396,20.152933333333333,0.0,0.0,0.0,0.39624639858224076,5,1,0,False,True,-0.006435607501249718,False
2006-12-17,56.507666666666665,2.354486111111111,7.064,0.206,1440,38.3303,25.70667846822862,0.47422969991538455,36.35473333333333,0.33330777337360007,6,1,0.7071067811865474,False,True,-0.09433216315957627,False
2006-12-18,36.73043333333334,1.5304347222222223,6.158,0.202,1440,37.79701111111111,18.200820037885148,-0.028218574602165664,-19.777233333333328,0.24852788603803544,0,0,-0.05860053423734115,False,False,0.0982180653372845,False
2006-12-19,27.7699,1.1570791666666669,7.84,0.194,1440,35.29023333333333,15.68382306740387,-0.213099563902005,-8.960533333333338,0.14758662840136058,1,0,-0.47949618540157174,False,False,0.14102583320678935,False
2006-12-20,37.0958,1.5456583333333334,5.988,0.202,1440,35.65134666666667,13.606569872851049,0.04051609457669841,9.325899999999997,0.2581259741705633,2,0,0.10615852098150179,False,False,0.14542174202715713,False
2006-12-21,28.6104,1.193757997218359,5.854,0.194,1438,34.47785555555556,12.504938356144065,-0.1701804088743597,-8.485399999999998,0.20392176242199503,3,0,-0.46921107393325895,False,False,0.18199507497234502,False
2006-12-22,39.0223,1.6259291666666669,7.884,0.202,1440,35.1270619047619,11.543895281175734,0.11088994877507966,10.411900000000003,0.20623150262134282,4,0,0.33742839833188204,False,False,0.13594140884307948,False
2006-12-23,79.55643333333333,3.314851388888889,8.698,0.208,1440,43.61327619047619,18.462587387829135,0.8241333897017814,40.53413333333333,0.38110501136915254,5,1,1.9468104002882882,False,True,-0.1675568470211244,False
2006-12-24,42.50020000000001,1.7708416666666669,6.824,0.196,1440,41.61220952380952,17.569607074631215,0.021339661756783215,-37.056233333333324,0.25950200273544355,6,1,0.05054128259206543,False,True,-0.04067622525086656,False
2006-12-25,45.71866666666666,1.9049444444444443,6.702,0.198,1440,42.89624285714285,17.481593257032912,0.06579652719058192,3.21846666666665,0.28423522000066315,0,0,0.16145117713388812,False,False,0.07674257242220717,False
